Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,tenure,TotalCharges
0,128,1,1,2.7,1,265.1,110,89,9.87,10,49,4361
0,107,1,1,3.7,1,161.6,123,82,9.78,13.7,65,5330
0,137,1,0,0,0,243.4,114,52,6.06,12.2,25,1300
0,84,0,0,0,2,299.4,71,57,3.1,6.6,18,1026
0,75,0,0,0,3,166.7,113,41,7.42,10.1,49,2009
0,118,0,0,0,0,223.4,98,57,11.03,6.3,47,2679
0,121,1,1,2.03,3,218.2,88,87.3,17.43,7.5,24,2095.2
0,147,0,0,0,0,157,79,36,5.16,7.1,71,2556
0,117,1,0,0.19,1,184.5,97,63.9,17.58,8.7,37,2364.2999999999997
0,141,0,1,3.02,0,258.6,84,93.2,11.1,11.2,20,1864
1,65,1,0,0.29,4,129.1,137,44.9,11.43,12.7,26,1167.3999999999999
0,74,1,0,0.34,0,187.7,127,49.4,8.17,9.1,3,148.2
0,168,1,0,0,1,128.8,96,31,5.25,11.2,41,1271
0,95,1,0,0.44,3,156.6,88,52.4,12.38,12.3,27,1414.8
0,62,1,0,0,4,120.7,70,47,15.36,13.1,36,1692
1,161,1,0,0,4,332.9,67,84,15.89,5.4,5,420
0,85,1,1,3.73,1,196.4,139,95.3,14.05,13.8,34,3240.2
0,93,1,0,0,3,190.7,114,51,10.91,8.1,3,153
0,76,1,1,2.7,1,189.7,66,78,10.64,10,58,4524
0,73,1,0,0,1,224.4,90,52,7.98,13,42,2184
0,147,1,0,0.31,0,155.1,117,50.1,11.99,10.6,24,1202.4
1,77,1,0,0,5,62.4,89,26,8.5,5.7,30,780
0,130,1,0,0,0,183,112,38,3.65,9.5,43,1634
0,111,1,0,0.39,2,110.4,103,34.9,6.87,7.7,15,523.5
0,132,1,0,0,0,81.1,86,35,12.26,10.3,22,770
0,174,1,0,0,3,124.3,76,45,13.86,15.5,58,2610
0,57,1,1,2.57,0,213,115,78.7,9.56,9.5,8,629.6
0,54,1,0,0,3,134.3,73,37,7.78,14.7,36,1332
0,20,1,0,0.32,0,190,109,58.2,12.91,6.3,68,3957.6000000000004
0,49,1,0,0.21,1,119.3,117,41.1,10.76,11.1,18,739.8000000000001
0,142,1,0,0,2,84.8,95,27,6.84,14.2,69,1863
0,75,1,0,0,1,226.1,105,56,10.08,10.3,4,224
0,172,1,0,0,3,212,121,39,1.56,12.6,50,1950
1,12,1,0,0,1,249.6,118,64,12.62,11.8,49,3136
0,57,1,1,2.24,0,176.8,94,69.4,9.75,8.3,26,1804.4
0,72,1,1,3.97,3,220,80,95.7,10.87,14.7,6,574.2
0,36,1,1,3.92,0,146.3,128,78.2,8.13,14.5,6,469.20000000000005
0,78,1,0,0,1,130.8,64,42,11.19,10,2,84
0,136,0,1,2.84,3,203.9,106,79.4,9.38,10.5,3,238.20000000000002
0,149,1,0,0,1,140.4,94,47,13.59,11.1,21,987
0,98,1,0,0.3,3,126.3,102,39,8.34,9.4,2,78
1,135,0,1,3.94,0,173.1,85,86.4,10.2,14.6,58,5011.200000000001
0,34,1,0,0,2,124.8,82,46,14.11,10,10,460
0,160,1,0,0.38,3,85.8,77,32.8,8.27,9.2,40,1312
0,64,1,0,0.24,1,154,67,48.4,11.29,3.5,5,242
0,59,1,1,2.3,2,120.9,97,62,10.65,8.5,33,2046
0,65,1,0,0,3,211.3,120,50,8.13,13.2,49,2450
0,142,1,0,0.35,2,187,133,47.5,6.73,7.4,29,1377.5
1,119,1,0,0,5,159.1,114,47,11.57,8.8,9,423
0,97,1,1,2.97,1,133.2,135,71.7,10.86,11,35,2509.5
0,52,1,0,0.32,3,191.9,108,59.2,13.49,7.8,16,947.2
0,60,1,0,0,1,220.6,57,56,10.56,6.8,69,3864
